geometry,description,null_family,n,prevalence,n_partitions,max_levels,min_level_frac,composite_null,case_mix_null,monotone_transform,true_auc,true_auc_min,true_auc_max,true_auc_gap,flag_means,rule,n_sims,n_perm,alpha,seed,geometry_seed_word,pythonhashseed,geometry_wall_s,method,n_evaluable,n_not_evaluable,n_flag,type1_rate,type1_mc_se,has_nominal_level,nominal_level_note,mean_runtime_per_dataset_s
multi_partition,5 partitions -- exercises the maximum over columns,simple,2000,0.2,5,5,0.1,False,False,,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),m30,1000,999,0.05,42,790380860,0,3360.9403206999996,permutation_null,1000,0,35,0.035,0.005811626278418116,True,max-statistic permutation p-value < alpha,1.6356209643998592
multi_partition,5 partitions -- exercises the maximum over columns,simple,2000,0.2,5,5,0.1,False,False,,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),m30,1000,999,0.05,42,790380860,0,3360.9403206999996,diciccio2020,1000,0,43,0.043,0.006414904519944158,True,max-T permutation p-value < alpha,1.7145651895999325
multi_partition,5 partitions -- exercises the maximum over columns,simple,2000,0.2,5,5,0.1,False,False,,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),m30,1000,999,0.05,42,790380860,0,3360.9403206999996,lum2022,1000,0,167,0.167,0.01179453263168999,True,"Holm over partitions of the one-sided z-test, < alpha",0.00631157340000209
multi_partition,5 partitions -- exercises the maximum over columns,simple,2000,0.2,5,5,0.1,False,False,,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),m30,1000,999,0.05,42,790380860,0,3360.9403206999996,four_fifths,1000,0,4,0.004,0.001995995991979944,False,"deterministic rule, no nominal level",0.0016501927001518197
multi_partition,5 partitions -- exercises the maximum over columns,simple,2000,0.2,5,5,0.1,False,False,,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),m30,1000,999,0.05,42,790380860,0,3360.9403206999996,fixed_threshold_005,1000,0,956,0.956,0.006485676526007139,False,"deterministic rule, no nominal level",0.0015860642002371605
multi_partition,5 partitions -- exercises the maximum over columns,simple,2000,0.2,5,5,0.1,False,False,,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),m30,1000,999,0.05,42,790380860,0,3360.9403206999996,lum2022_cochranQ,1000,0,56,0.056,0.007270763371201128,True,"Holm over partitions of Cochran's Q, < alpha",0.00631157340000209
multi_partition,5 partitions -- exercises the maximum over columns,simple,2000,0.2,5,5,0.1,False,False,,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),m30,1000,999,0.05,42,790380860,0,3360.9403206999996,lum2022_bootstrapCI,1000,0,0,0.0,0.0,True,bootstrap lower bound on V_dc > 0 at one-sided level alpha/P (Bonferroni over P partitions); family-wise level alpha,0.00631157340000209
multi_partition,5 partitions -- exercises the maximum over columns,simple,2000,0.2,5,5,0.1,False,False,,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),ev10,1000,999,0.05,42,790380860,0,3411.322664499996,permutation_null,1000,0,35,0.035,0.005811626278418116,True,max-statistic permutation p-value < alpha,1.6728409576000267
multi_partition,5 partitions -- exercises the maximum over columns,simple,2000,0.2,5,5,0.1,False,False,,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),ev10,1000,999,0.05,42,790380860,0,3411.322664499996,diciccio2020,1000,0,43,0.043,0.006414904519944158,True,max-T permutation p-value < alpha,1.7275665306001464
multi_partition,5 partitions -- exercises the maximum over columns,simple,2000,0.2,5,5,0.1,False,False,,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),ev10,1000,999,0.05,42,790380860,0,3411.322664499996,lum2022,1000,0,167,0.167,0.01179453263168999,True,"Holm over partitions of the one-sided z-test, < alpha",0.006394266399991465
multi_partition,5 partitions -- exercises the maximum over columns,simple,2000,0.2,5,5,0.1,False,False,,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),ev10,1000,999,0.05,42,790380860,0,3411.322664499996,four_fifths,1000,0,4,0.004,0.001995995991979944,False,"deterministic rule, no nominal level",0.0016847546999779297
multi_partition,5 partitions -- exercises the maximum over columns,simple,2000,0.2,5,5,0.1,False,False,,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),ev10,1000,999,0.05,42,790380860,0,3411.322664499996,fixed_threshold_005,1000,0,956,0.956,0.006485676526007139,False,"deterministic rule, no nominal level",0.0016218332000134978
multi_partition,5 partitions -- exercises the maximum over columns,simple,2000,0.2,5,5,0.1,False,False,,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),ev10,1000,999,0.05,42,790380860,0,3411.322664499996,lum2022_cochranQ,1000,0,56,0.056,0.007270763371201128,True,"Holm over partitions of Cochran's Q, < alpha",0.006394266399991465
multi_partition,5 partitions -- exercises the maximum over columns,simple,2000,0.2,5,5,0.1,False,False,,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),ev10,1000,999,0.05,42,790380860,0,3411.322664499996,lum2022_bootstrapCI,1000,0,0,0.0,0.0,True,bootstrap lower bound on V_dc > 0 at one-sided level alpha/P (Bonferroni over P partitions); family-wise level alpha,0.006394266399991465
composite_5part,"5 partitions, composite shift on the first -- maximum over-partition pressure under the composite null",composite,2000,0.2,5,4,0.1,True,False,power,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),m30,1000,999,0.05,42,270047690,0,3248.951549899997,permutation_null,1000,0,50,0.05,0.006892024376045111,True,max-statistic permutation p-value < alpha,1.5849012316000735
composite_5part,"5 partitions, composite shift on the first -- maximum over-partition pressure under the composite null",composite,2000,0.2,5,4,0.1,True,False,power,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),m30,1000,999,0.05,42,270047690,0,3248.951549899997,diciccio2020,1000,0,44,0.044,0.006485676526007136,True,max-T permutation p-value < alpha,1.653144823100156
composite_5part,"5 partitions, composite shift on the first -- maximum over-partition pressure under the composite null",composite,2000,0.2,5,4,0.1,True,False,power,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),m30,1000,999,0.05,42,270047690,0,3248.951549899997,lum2022,1000,0,168,0.168,0.011822690049223147,True,"Holm over partitions of the one-sided z-test, < alpha",0.006275640099906013
composite_5part,"5 partitions, composite shift on the first -- maximum over-partition pressure under the composite null",composite,2000,0.2,5,4,0.1,True,False,power,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),m30,1000,999,0.05,42,270047690,0,3248.951549899997,four_fifths,1000,0,34,0.034,0.005730968504537431,False,"deterministic rule, no nominal level",0.0015970243998308434
composite_5part,"5 partitions, composite shift on the first -- maximum over-partition pressure under the composite null",composite,2000,0.2,5,4,0.1,True,False,power,0.75,0.75,0.75,0.0,false positive (all true subgroup AUROC equal),m30,1000,999,0.05,42,270047690,0,3248.951549899997,fixed_threshold_005,1000,0,960,0.96,0.00619677335393187,False,"deterministic rule, no nominal level",0.0015378087999415584
